last_name,first_name,team,position,height_inches,weight_lbs,pts_per_game,rebounds_per_game,assists_per_game,salary
Korkmaz,Furkan,Philadelphia 76ers,G-F,79,202.0,3.8,1.1,0.6,5000000
Kornet,Luke,Boston Celtics,C-F,86,250.0,3.8,2.9,0.8,2133278
Krejci,Vit,Atlanta Hawks,G,80,195.0,1.2,0.9,0.6,1563518
Kuminga,Jonathan,Golden State Warriors,F,79,225.0,9.9,3.4,1.9,5739860
Kuzma,Kyle,Washington Wizards,F,81,221.0,21.2,7.2,3.7,13000000
LaRavia,Jake,Memphis Grizzlies,F,79,235.0,3.0,1.8,0.6,3047640
LaVine,Zach,Chicago Bulls,G,77,200.0,24.8,4.5,4.2,37096500
Lamb,Anthony,Golden State Warriors,F,78,227.0,6.7,3.5,1.5,253254
Landale,Jock,Phoenix Suns,C,83,255.0,6.6,4.1,1.0,1563518
Langford,Romeo,San Antonio Spurs,G-F,77,216.0,6.9,2.7,1.2,5634257
LeVert,Caris,Cleveland Cavaliers,G,78,205.0,12.1,3.8,3.9,18796296
Lee,Damion,Phoenix Suns,G-F,77,210.0,8.2,3.0,1.3,1836090
Lee,Saben,Philadelphia 76ers,G,74,183.0,6.0,1.8,2.7,1752638
Len,Alex,Sacramento Kings,C,86,250.0,1.7,2.3,0.5,3918000
Leonard,Kawhi,LA Clippers,F,79,225.0,23.8,6.5,3.9,42492492
Leonard,Meyers,Milwaukee Bucks,F-C,84,260.0,4.8,3.8,0.1,284911
Lewis Jr.,Kira,New Orleans Pelicans,G,73,170.0,4.6,1.3,0.9,4004280
Lillard,Damian,Portland Trail Blazers,G,74,195.0,32.2,4.8,7.3,42492492
Little,Nassir,Portland Trail Blazers,F-G,77,220.0,6.6,2.6,0.9,4171548
Livers,Isaiah,Detroit Pistons,F,78,232.0,6.7,2.8,0.8,1563518
Lofton Jr.,Kenneth,Memphis Grizzlies,F,78,275.0,5.0,2.1,0.8,1000000
Looney,Kevon,Golden State Warriors,F,81,222.0,7.0,9.3,2.5,8000000
Lopez,Brook,Milwaukee Bucks,C,85,282.0,15.9,6.7,1.3,13906976
Lopez,Robin,Cleveland Cavaliers,C,84,281.0,3.0,1.4,0.5,1836090
Love,Kevin,Miami Heat,F-C,80,251.0,8.2,6.4,1.9,3114138
Lowry,Kyle,Miami Heat,G,72,196.0,11.2,4.1,5.1,28333334
Lyles,Trey,Sacramento Kings,F,81,234.0,7.6,4.1,0.9,2700000
Maledon,Theo,Charlotte Hornets,G,77,175.0,6.7,2.8,3.5,1900000
Mamukelashvili,Sandro,San Antonio Spurs,F-C,82,240.0,6.1,4.3,1.4,357717
Mann,Terance,LA Clippers,G-F,77,215.0,8.8,3.4,2.3,1930681
Mann,Tre,Oklahoma City Thunder,G,75,178.0,7.7,2.3,1.8,3046200
Marjanovic,Boban,Houston Rockets,C,88,290.0,3.3,1.9,0.3,601478
Markkanen,Lauri,Utah Jazz,F-C,84,240.0,25.6,8.6,1.9,16475454
Marshall,Naji,New Orleans Pelicans,F,79,220.0,9.1,3.6,2.5,1782621
Martin,Caleb,Miami Heat,F,77,205.0,9.6,4.8,1.6,6479000
Martin,Cody,Charlotte Hornets,F,78,205.0,5.0,3.4,1.6,7000000
Martin,Tyrese,Atlanta Hawks,G,78,215.0,1.3,0.8,0.1,1017781
Martin Jr.,Kenyon,Houston Rockets,F,79,215.0,12.7,5.5,1.5,1782621
Mathews,Garrison,Atlanta Hawks,G,78,215.0,4.8,1.4,0.5,2000000
Mathurin,Bennedict,Indiana Pacers,G-F,77,210.0,16.7,4.1,1.5,6586800
Matthews,Wesley,Milwaukee Bucks,G,77,220.0,3.4,2.2,0.7,1836090
Maxey,Tyrese,Philadelphia 76ers,G,74,200.0,20.3,2.9,3.5,2726880
McBride,Miles,New York Knicks,G,74,195.0,3.5,0.8,1.1,1563518
McCollum,CJ,New Orleans Pelicans,G,75,190.0,20.9,4.4,5.7,33333333
McConnell,T.J.,Indiana Pacers,G,73,190.0,8.7,3.1,5.3,8100000
McDaniels,Jaden,Minnesota Timberwolves,F,81,185.0,12.1,3.9,1.9,2161440
McDaniels,Jalen,Philadelphia 76ers,F-C,81,205.0,9.4,4.3,1.6,1930681
McDermott,Doug,San Antonio Spurs,F,78,225.0,10.2,2.2,1.4,13750000
McGee,JaVale,Dallas Mavericks,C-F,84,270.0,4.4,2.5,0.3,5461219
McGowens,Bryce,Charlotte Hornets,G,78,175.0,5.3,2.0,1.2,1075000
McGruder,Rodney,Detroit Pistons,G,76,205.0,5.7,2.3,0.9,1836090
McLaughlin,Jordan,Minnesota Timberwolves,G,72,185.0,3.7,1.4,3.4,2160000
Melton,De'Anthony,Philadelphia 76ers,G,74,200.0,10.1,4.1,2.6,8250000
Merrill,Sam,Cleveland Cavaliers,G,76,205.0,5.0,1.8,1.0,850000
Metu,Chimezie,Sacramento Kings,F-C,81,225.0,4.9,3.0,0.6,1910680
Middleton,Khris,Milwaukee Bucks,F,79,222.0,15.1,4.2,4.9,37948276
Mills,Patty,Brooklyn Nets,G,72,180.0,6.2,1.1,1.4,6479000
Milton,Shake,Philadelphia 76ers,G-F,77,205.0,8.4,2.5,3.2,1977718
Minott,Josh,Minnesota Timberwolves,F,80,205.0,3.1,1.7,0.3,1017781
Mitchell,Davion,Sacramento Kings,G,72,202.0,5.6,1.3,2.3,4833600
Mitchell,Donovan,Cleveland Cavaliers,G,73,215.0,28.3,4.3,4.4,30913750
Mobley,Evan,Cleveland Cavaliers,C,83,215.0,16.2,9.0,2.8,8478720
Monk,Malik,Sacramento Kings,G,75,200.0,13.5,2.6,3.9,9472219
Moody,Moses,Golden State Warriors,G,77,211.0,4.8,1.7,0.8,3562200
Moore Jr.,Wendell,Minnesota Timberwolves,G,77,215.0,1.4,0.6,0.6,2306520
Morant,Ja,Memphis Grizzlies,G,74,174.0,26.2,5.9,8.1,9603360
Morris,Markieff,Dallas Mavericks,F,81,245.0,3.8,2.0,0.9,1836090
Morris,Monte,Washington Wizards,G,74,183.0,10.3,3.4,5.3,9125000
Morris Sr.,Marcus,LA Clippers,F,80,218.0,11.2,4.0,1.8,16372093
Murphy III,Trey,New Orleans Pelicans,F,80,206.0,14.5,3.6,1.4,3206640
Murray,Dejounte,Atlanta Hawks,G,77,180.0,20.5,5.3,6.1,16571120
Murray,Jamal,Denver Nuggets,G,76,215.0,20.0,4.0,6.2,31650000
Murray,Keegan,Sacramento Kings,F,80,225.0,12.2,4.6,1.2,8008440
Muscala,Mike,Boston Celtics,F-C,83,240.0,6.1,3.2,0.8,3500000
Mykhailiuk,Svi,Charlotte Hornets,G-F,79,205.0,6.9,1.7,1.7,1836090
Nance Jr.,Larry,New Orleans Pelicans,F-C,80,245.0,6.8,5.4,1.8,9672727
Nembhard,Andrew,Indiana Pacers,G-F,75,191.0,9.5,2.7,4.5,2244111
Nesmith,Aaron,Indiana Pacers,G-F,77,215.0,10.1,3.8,1.3,3804360
Neto,Raul,Cleveland Cavaliers,G,74,180.0,3.3,1.0,1.6,1836090
Niang,Georges,Philadelphia 76ers,F,79,230.0,8.2,2.4,1.0,3465000
Nix,Daishen,Houston Rockets,G,76,226.0,4.0,1.7,2.3,1563518
Nnaji,Zeke,Denver Nuggets,F-C,81,240.0,5.2,2.6,0.3,2498760
Nowell,Jaylen,Minnesota Timberwolves,G,76,201.0,10.8,2.6,2.0,1930681
Ntilikina,Frank,Dallas Mavericks,G,76,200.0,2.9,1.3,1.2,2036318
Nunn,Kendrick,Washington Wizards,G,75,190.0,7.1,1.6,1.3,5250000
Nurkic,Jusuf,Portland Trail Blazers,C,84,290.0,13.3,9.1,2.9,15625000
Nwora,Jordan,Indiana Pacers,F,81,225.0,8.7,3.7,1.4,3000000
O'Neale,Royce,Brooklyn Nets,F,78,226.0,8.8,5.1,3.7,9200000
Okeke,Chuma,Orlando Magic,F,80,229.0,4.7,3.6,1.4,3433320
Okogie,Josh,Phoenix Suns,G,76,213.0,7.3,3.5,1.5,1836090
Okongwu,Onyeka,Atlanta Hawks,F-C,81,240.0,9.9,7.2,1.0,6395160
Okoro,Isaac,Cleveland Cavaliers,F-G,77,225.0,6.4,2.5,1.1,7040880
Oladipo,Victor,Miami Heat,G,75,213.0,10.7,3.0,3.5,8750000
Olynyk,Kelly,Utah Jazz,F-C,83,240.0,12.5,6.2,3.7,12195122
Omoruyi,Eugene,Detroit Pistons,F,78,235.0,7.0,2.8,0.7,555402
Osman,Cedi,Cleveland Cavaliers,F,79,230.0,8.7,2.3,1.5,7426088
Oubre Jr.,Kelly,Charlotte Hornets,F-G,78,203.0,20.3,5.2,1.1,12600000
Paul,Chris,Phoenix Suns,G,72,175.0,13.9,4.3,8.9,28400000
Payne,Cameron,Phoenix Suns,G,73,183.0,10.3,2.2,4.5,6000000
Payton II,Gary,Golden State Warriors,G,74,195.0,4.6,3.1,1.4,8300000
Pinson,Theo,Dallas Mavericks,G-F,79,212.0,2.4,1.6,1.2,1836090
Plumlee,Mason,LA Clippers,F-C,84,254.0,10.8,8.9,3.1,9080417
Poeltl,Jakob,Toronto Raptors,C,85,245.0,12.5,9.1,2.7,9398148
Pokusevski,Aleksej,Oklahoma City Thunder,F,84,210.0,8.1,4.7,1.9,3261480
Poole,Jordan,Golden State Warriors,G,76,194.0,20.4,2.7,4.5,3901399
Porter Jr.,Kevin,Houston Rockets,G-F,76,203.0,19.2,5.3,5.7,3217631
Porter Jr.,Michael,Denver Nuggets,F,82,218.0,17.4,5.5,1.0,30913750
Porter Jr.,Otto,Toronto Raptors,F,80,198.0,5.5,2.4,1.0,6000000
Portis,Bobby,Milwaukee Bucks,F,83,250.0,14.1,9.6,1.5,10843350
Porzingis,Kristaps,Washington Wizards,F-C,87,240.0,23.2,8.4,2.7,33833400
Powell,Dwight,Dallas Mavericks,F-C,82,240.0,6.7,4.1,0.9,11080125
Powell,Norman,LA Clippers,G,76,215.0,17.0,2.9,1.8,16758621
Preston,Jason,LA Clippers,G,75,181.0,2.9,1.6,1.9,1563518
Prince,Taurean,Minnesota Timberwolves,F,78,218.0,9.1,2.4,1.6,8000000
Pritchard,Payton,Boston Celtics,G,73,195.0,5.6,1.8,1.3,2239200
Quickley,Immanuel,New York Knicks,G,74,190.0,14.9,4.2,3.4,2316240
Randle,Julius,New York Knicks,F-C,80,250.0,25.1,10.0,4.1,23760000
Reaves,Austin,Los Angeles Lakers,G,77,197.0,13.0,3.0,3.4,1563518
Reddish,Cam,Portland Trail Blazers,F-G,79,217.0,9.7,2.2,1.4,5954454
Reed,Paul,Philadelphia 76ers,F,81,210.0,4.2,3.8,0.4,1782621
Reid,Naz,Minnesota Timberwolves,C-F,81,264.0,11.5,4.9,1.1,1930681
Richards,Nick,Charlotte Hornets,C,84,245.0,8.2,6.4,0.6,1782621
Richardson,Josh,New Orleans Pelicans,G,78,200.0,10.1,2.7,2.7,11615328
Rivers,Austin,Minnesota Timberwolves,G,76,200.0,4.9,1.6,1.4,1836090
Robinson,Duncan,Miami Heat,F,79,215.0,6.4,1.6,1.1,16902000
Robinson,Mitchell,New York Knicks,C-F,84,240.0,7.4,9.4,0.9,17045454
Robinson-Earl,Jeremiah,Oklahoma City Thunder,F,80,240.0,6.8,4.2,1.0,2000000
Roby,Isaiah,San Antonio Spurs,F,80,230.0,4.1,2.5,0.9,400000
Roddy,David,Memphis Grizzlies,F,76,255.0,6.7,2.8,0.8,2588640
Rollins,Ryan,Golden State Warriors,G,75,180.0,1.9,1.0,0.5,1017781
Rose,Derrick,New York Knicks,G,75,200.0,5.6,1.5,1.7,14520730
Ross,Terrence,Phoenix Suns,G-F,79,206.0,8.3,2.4,1.5,580373
Rozier,Terry,Charlotte Hornets,G,73,190.0,21.1,4.1,5.1,21486283
Rubio,Ricky,Cleveland Cavaliers,G,74,190.0,5.2,2.1,3.5,5853659
Russell,D'Angelo,Los Angeles Lakers,G,76,193.0,17.8,3.0,6.2,31377750
Ryan,Matt,Minnesota Timberwolves,F,78,215.0,3.6,0.8,0.5,1836090
Sabonis,Domantas,Sacramento Kings,F-C,85,240.0,19.1,12.3,7.3,18500000
Samanic,Luka,Utah Jazz,F,82,227.0,9.9,4.3,2.1,2959080
Saric,Dario,Oklahoma City Thunder,F-C,82,225.0,6.4,3.6,1.3,9240000
Schofield,Admiral,Orlando Magic,F,77,241.0,4.2,1.7,0.8,516508
Schroder,Dennis,Los Angeles Lakers,G,73,172.0,12.4,2.5,4.4,1836090
Sengun,Alperen,Houston Rockets,C,83,243.0,14.8,9.0,3.9,3375480
Sexton,Collin,Utah Jazz,G,74,190.0,14.3,2.2,2.9,16500000
Shamet,Landry,Phoenix Suns,G,76,190.0,8.7,1.7,2.3,9500000
Sharpe,Day'Ron,Brooklyn Nets,C,81,265.0,4.7,4.2,0.8,2109480
Sharpe,Shaedon,Portland Trail Blazers,G,77,200.0,9.9,3.0,1.2,6012960
Siakam,Pascal,Toronto Raptors,F,80,230.0,24.2,7.8,5.8,35448672
Simmons,Ben,Brooklyn Nets,G-F,82,240.0,6.9,6.3,6.1,35448672
Simmons,Kobi,Charlotte Hornets,G,77,180.0,1.0,0.8,1.0,32795
Simonovic,Marko,Chicago Bulls,C,84,220.0,0.9,0.3,0.0,1563518
Simons,Anfernee,Portland Trail Blazers,G,75,181.0,21.1,2.6,4.1,22321429
Sims,Jericho,New York Knicks,C,82,250.0,3.4,4.7,0.5,1639842
Smart,Marcus,Boston Celtics,G,76,220.0,11.5,3.1,6.3,17207141
Smith,Ish,Denver Nuggets,G,72,175.0,2.5,1.3,2.3,4750000
Smith,Jalen,Indiana Pacers,F-C,81,215.0,9.4,5.8,1.0,4670160
Smith Jr.,Dennis,Charlotte Hornets,G,74,205.0,8.8,3.1,4.8,1836090
Smith Jr.,Jabari,Houston Rockets,F,83,220.0,12.8,7.2,1.3,8882640
Sneed,Xavier,Charlotte Hornets,F,77,215.0,4.3,1.3,1.3,8558
Sochan,Jeremy,San Antonio Spurs,F,80,230.0,11.0,5.3,2.5,5063520
Springer,Jaden,Philadelphia 76ers,G,76,202.0,2.6,0.9,0.5,2125200
Stevens,Lamar,Cleveland Cavaliers,F,78,230.0,5.3,3.3,0.5,1782621
Stewart,Isaiah,Detroit Pistons,F-C,80,250.0,11.3,8.1,1.4,3433320
Strus,Max,Miami Heat,G-F,77,215.0,11.5,3.2,2.1,1815677
Suggs,Jalen,Orlando Magic,G,77,205.0,9.9,3.0,2.9,6922320
Sumner,Edmond,Brooklyn Nets,G,76,196.0,7.1,1.5,1.3,1968175
Tate,Jae'Sean,Houston Rockets,F,77,230.0,9.1,3.8,2.7,7065217
Tatum,Jayson,Boston Celtics,F-G,80,210.0,30.1,8.8,4.6,28103500
Taylor,Terry,Chicago Bulls,F,76,230.0,2.9,1.5,0.3,1563518
Temple,Garrett,New Orleans Pelicans,G-F,78,195.0,2.0,0.7,0.5,4910000
Terry,Dalen,Chicago Bulls,F,79,195.0,2.2,1.0,0.6,3191400
Theis,Daniel,Indiana Pacers,F-C,80,245.0,7.0,3.1,1.3,8694369
Thomas,Cam,Brooklyn Nets,G,75,210.0,10.6,1.7,1.4,2138160
Thompson,Klay,Golden State Warriors,G,78,220.0,21.9,4.1,2.4,40600080
Thompson,Tristan,Los Angeles Lakers,C-F,81,254.0,9.0,8.4,1.0,10552
Thor,JT,Charlotte Hornets,F,81,203.0,3.8,2.2,0.5,1563518
Thybulle,Matisse,Portland Trail Blazers,G-F,77,201.0,4.1,2.0,0.7,4379527
Tillman,Xavier,Memphis Grizzlies,F,79,245.0,7.0,5.0,1.6,1901625
Todd,Isaiah,Washington Wizards,F,81,219.0,1.5,2.0,0.7,1575000
Toppin,Obi,New York Knicks,F,81,220.0,7.4,2.8,1.0,5348280
Toscano-Anderson,Juan,Utah Jazz,F,78,209.0,3.0,2.4,1.3,1836090
Towns,Karl-Anthony,Minnesota Timberwolves,C-F,84,248.0,20.8,8.1,4.8,33833400
Trent Jr.,Gary,Toronto Raptors,G-F,77,209.0,17.4,2.6,1.6,17505000
Tucker,P.J.,Philadelphia 76ers,F,77,245.0,3.5,3.9,0.8,10490000
Turner,Myles,Indiana Pacers,C-F,83,250.0,18.0,7.5,1.4,35096500
Valanciunas,Jonas,New Orleans Pelicans,C,83,265.0,14.1,10.2,1.8,14700000
VanVleet,Fred,Toronto Raptors,G,72,197.0,19.3,4.1,7.2,21250000
Vanderbilt,Jarred,Los Angeles Lakers,F,80,214.0,7.9,7.5,2.4,4374000
Vassell,Devin,San Antonio Spurs,G-F,77,200.0,18.5,3.9,3.6,4437000
Vincent,Gabe,Miami Heat,G,74,200.0,9.4,2.1,2.5,1815677
Vucevic,Nikola,Chicago Bulls,C,82,260.0,17.6,11.0,3.2,22000000
Wade,Dean,Cleveland Cavaliers,F-C,81,228.0,4.7,3.4,0.8,1930681
Wagner,Franz,Orlando Magic,F,82,220.0,18.6,4.1,3.5,5258280
Wagner,Moritz,Orlando Magic,F-C,83,245.0,10.5,4.5,1.5,1878720
Wainright,Ish,Phoenix Suns,F,77,250.0,4.2,2.3,0.9,474851
Walker,Jabari,Portland Trail Blazers,F,79,200.0,3.9,2.3,0.6,1017781
Walker IV,Lonnie,Los Angeles Lakers,G-F,76,204.0,11.7,1.9,1.1,6479000
Warren,T.J.,Phoenix Suns,F,80,220.0,7.5,2.9,1.0,1836090
Washington,P.J.,Charlotte Hornets,F,79,230.0,15.7,4.9,2.4,5808435
Washington Jr.,Duane,Phoenix Suns,G,74,197.0,7.9,1.2,2.0,1563518
Washington Jr.,TyTy,Houston Rockets,G,75,195.0,4.7,1.5,1.5,2210040
Watanabe,Yuta,Brooklyn Nets,G-F,80,215.0,5.6,2.4,0.8,1762796
Waters III,Lindy,Oklahoma City Thunder,F,78,210.0,5.2,1.8,0.7,1927896
Watford,Trendon,Portland Trail Blazers,F,80,237.0,7.4,3.8,2.1,1563518
Watson,Peyton,Denver Nuggets,G,79,200.0,3.3,1.6,0.5,2193960
Wesley,Blake,San Antonio Spurs,G,76,185.0,5.0,2.2,2.6,2385480
Westbrook,Russell,LA Clippers,G,75,200.0,15.9,5.8,7.5,495955
White,Coby,Chicago Bulls,G,77,195.0,9.7,2.9,2.8,7413955
White,Derrick,Boston Celtics,G,76,190.0,12.4,3.6,3.9,16892857
Wieskamp,Joe,Toronto Raptors,G-F,78,205.0,1.0,0.4,0.3,554989
Wiggins,Aaron,Oklahoma City Thunder,G,77,190.0,6.8,3.0,1.1,1563518
Wiggins,Andrew,Golden State Warriors,F,79,197.0,17.1,5.0,2.3,33616770
Williams,Grant,Boston Celtics,F,78,236.0,8.1,4.6,1.7,4306281
Williams,Jalen,Oklahoma City Thunder,G-F,77,211.0,14.1,4.5,3.3,4341480
Williams,Jaylin,Oklahoma City Thunder,F,81,240.0,5.9,4.9,1.6,2000000
Williams,Jeenathan,Portland Trail Blazers,G,77,205.0,10.6,3.0,2.0,52644
Williams,Kenrich,Oklahoma City Thunder,G-F,78,210.0,8.0,4.9,2.0,2000000
Williams,Mark,Charlotte Hornets,C,84,240.0,9.0,7.1,0.4,3722040
Williams,Patrick,Chicago Bulls,F,79,215.0,10.2,4.0,1.2,7775400
Williams,Ziaire,Memphis Grizzlies,F,81,185.0,5.7,2.1,0.9,4591680
Williams III,Robert,Boston Celtics,C-F,81,237.0,8.0,8.3,1.4,10937502
Williamson,Zion,New Orleans Pelicans,F,78,284.0,26.0,7.0,4.6,13534817
Windler,Dylan,Cleveland Cavaliers,G-F,79,196.0,1.7,0.0,0.3,4037278
Winslow,Justise,Portland Trail Blazers,F-G,78,222.0,6.8,5.0,3.4,4097561
Wiseman,James,Detroit Pistons,C,84,240.0,10.0,5.9,0.7,9603360
Wood,Christian,Dallas Mavericks,F,81,214.0,16.6,7.3,1.8,14317460
Wright,Delon,Washington Wizards,G,77,185.0,7.4,3.6,3.9,7804878
Young,Thaddeus,Toronto Raptors,F,80,235.0,4.4,3.1,1.4,8000000
Young,Trae,Atlanta Hawks,G,73,164.0,26.2,3.0,10.2,37095000
Yurtseven,Omer,Miami Heat,C,83,275.0,4.4,2.6,0.2,1752638
Zeller,Cody,Miami Heat,F-C,83,240.0,6.5,4.3,0.7,517060
Zubac,Ivica,LA Clippers,C,84,240.0,10.8,9.9,1.0,10123457
